age,height_cm,weight_kg,gender,activity_level,goal,bmi,calories,diet_type,workout_type
44,165,80,Male,Active,Fat Loss,29.38,2570,Low Carb,Intense
23,157,79,Male,Active,Muscle Gain,32.05,3456,High Protein,Moderate
48,186,102,Male,Sedentary,Maintain,29.48,2337,Balanced,Moderate
33,157,93,Male,Moderate,Muscle Gain,37.73,3014,High Protein,Moderate
48,189,71,Female,Sedentary,Maintain,19.88,1788,Balanced,Moderate
47,187,84,Male,Moderate,Maintain,24.02,2757,Balanced,Moderate
38,169,79,Male,Moderate,Muscle Gain,27.66,2874,High Protein,Moderate
36,175,109,Male,Active,Fat Loss,35.59,3316,Low Carb,Intense
38,188,103,Female,Moderate,Muscle Gain,29.14,3173,High Protein,Moderate
39,152,62,Male,Sedentary,Maintain,26.84,1656,Balanced,Moderate
26,190,63,Female,Moderate,Fat Loss,17.45,1866,Low Carb,Light
35,155,94,Male,Active,Maintain,39.13,3303,Balanced,Moderate
27,170,99,Female,Moderate,Muscle Gain,34.26,3022,High Protein,Moderate
23,172,100,Male,Active,Maintain,33.8,3733,Balanced,Moderate
27,167,96,Male,Active,Fat Loss,34.42,3060,Low Carb,Intense
31,180,48,Male,Active,Muscle Gain,14.81,3064,High Protein,Light
38,170,105,Male,Active,Muscle Gain,36.33,3962,High Protein,Moderate
25,163,48,Female,Sedentary,Muscle Gain,18.07,1755,High Protein,Moderate
19,167,95,Female,Active,Fat Loss,34.06,2801,Low Carb,Intense
47,179,108,Male,Active,Maintain,33.71,3740,Balanced,Moderate
39,150,61,Male,Moderate,Maintain,27.11,2104,Balanced,Moderate
32,183,48,Male,Sedentary,Fat Loss,14.33,1262,Low Carb,Light
36,167,47,Female,Moderate,Muscle Gain,16.85,2117,High Protein,Light
31,190,87,Male,Moderate,Fat Loss,24.1,2456,Low Carb,Moderate
30,171,82,Female,Moderate,Fat Loss,28.04,1945,Low Carb,Intense
26,173,64,Male,Moderate,Maintain,21.38,2474,Balanced,Moderate
47,171,108,Female,Sedentary,Maintain,36.93,2103,Balanced,Moderate
47,154,98,Male,Active,Maintain,41.32,3253,Balanced,Moderate
29,155,46,Male,Sedentary,Fat Loss,19.15,1046,Low Carb,Moderate
46,168,90,Male,Moderate,Muscle Gain,31.89,2973,High Protein,Moderate
43,187,59,Male,Moderate,Fat Loss,16.87,1900,Low Carb,Light
47,175,46,Male,Active,Muscle Gain,15.02,2815,High Protein,Light
30,189,108,Male,Moderate,Maintain,30.23,3280,Balanced,Moderate
19,180,56,Male,Active,Maintain,17.28,3030,Balanced,Light
32,184,106,Female,Sedentary,Fat Loss,31.31,1766,Low Carb,Intense
45,177,107,Male,Active,Maintain,34.15,3716,Balanced,Moderate
43,175,75,Female,Sedentary,Muscle Gain,24.49,2061,High Protein,Moderate
19,164,82,Female,Sedentary,Muscle Gain,30.49,2206,High Protein,Moderate
46,155,103,Male,Active,Fat Loss,42.87,2870,Low Carb,Intense
19,168,83,Male,Active,Muscle Gain,29.41,3701,High Protein,Moderate
36,170,70,Male,Active,Fat Loss,24.22,2516,Low Carb,Moderate
26,188,69,Male,Active,Muscle Gain,19.52,3606,High Protein,Moderate
49,180,84,Male,Moderate,Maintain,25.93,2673,Balanced,Moderate
32,179,79,Male,Active,Muscle Gain,24.66,3632,High Protein,Moderate
50,176,74,Male,Active,Muscle Gain,23.89,3330,High Protein,Moderate
18,187,75,Female,Sedentary,Maintain,21.45,2001,Balanced,Moderate
47,174,75,Female,Sedentary,Maintain,24.77,1729,Balanced,Moderate
45,190,104,Female,Sedentary,Fat Loss,28.81,1709,Low Carb,Intense
43,162,85,Female,Active,Fat Loss,32.39,2324,Low Carb,Intense
35,161,109,Female,Moderate,Muscle Gain,42.05,3028,High Protein,Moderate
30,159,68,Male,Moderate,Muscle Gain,26.9,2669,High Protein,Moderate
44,181,96,Female,Active,Fat Loss,29.3,2749,Low Carb,Intense
29,179,63,Male,Moderate,Fat Loss,19.66,1993,Low Carb,Moderate
